"School","Conference","Sponsor_2022","longitude","latitude","Control.of.institution"
"Abilene Christian University","East","Nike",-99.70954,32.46915,"Private"
"Appalachian State University","West","Nike",-81.680234,36.214844,"Public"
"Baylor University","South","Nike",-97.119359,31.545956,"Private"
"Brigham Young University","East","Nike",-111.649281,40.250851,"Private"
"Clemson University","Midwest","Nike",-82.834463,34.677329,"Public"
"Cleveland State University","Midwest","Nike",-81.673052,41.502918,"Public"
"Colgate University","South","Under Armour",-75.535,42.8188,"Private"
"Creighton University","West","Nike",-95.947029,41.265325,"Private"
"Drake University","West","Adidas",-93.654062,41.60381,"Private"
"Drexel University","Midwest","Nike",-75.188745,39.954855,"Private"
"Duke University","","Nike",-78.94226,36.00159,"Private"
"Eastern Washington University","West","Adidas",-117.589371,47.491293,"Public"
"Florida State University","East","Nike",-84.294801,30.4421,"Public"
"Georgetown University","East","Jordan",-77.073463,38.908809,"Private"
"Georgia Institute of Technology","Midwest","Adidas",-84.396019,33.773732,"Public"
"Gonzaga University","West","Nike",-117.403062,47.668144,"Private"
"Grand Canyon University","West","Nike",-112.1289,33.51,"Private"
"Iona College","East","Adidas",-73.785635,40.927107,"Private"
"Iowa State University","West","Nike",-93.648353,42.026368,"Public"
"Liberty University","Midwest","Nike",-79.179688,37.350345,"Private"
"Louisiana State University","East","Nike",-91.196656,30.552111,"Public"
"Loyola University Chicago","Midwest","Nike",-87.657399,41.999161,"Private"
"Michigan State University","East","Nike",-84.473639,42.72476,"Public"
"Morehead State University","Midwest","Under Armour",-83.429742,38.188462,"Public"
"Mount St. Mary's University","East","Under Armour",-77.35222,39.680632,"Private"
"Norfolk State University","West","Nike",-76.26393,36.848262,"Public"
"North Carolina State University","South","Jordan",-78.674517,35.785111,"Public"
"Ohio State University","South","Nike",-83.009001,39.998389,"Public"
"Ohio University","West","Adidas",-82.101064,39.326799,"Public"
"Oklahoma State University","Midwest","Nike",-97.069743,36.123085,"Public"
"Oral Roberts University","South","Nike",-95.954215,36.050705,"Private"
"Oregon State University","Midwest","Nike",-123.274721,44.56274,"Public"
"Purdue University","South","Nike",-86.914435,40.428206,"Public"
"Rutgers University","Midwest","Adidas",-74.45051,40.503796,"Public"
"San Diego State University","Midwest","Jordan",-117.071228,32.77525,"Public"
"St. Bonaventure University","East","Adidas",-78.47586,42.07863,"Private"
"Syracuse University","Midwest","Nike",-76.136738,43.040525,"Private"
"Texas Southern University","East","Under Armour",-95.361961,29.722468,"Public"
"Texas Tech University","South","Under Armour",-101.876917,33.580309,"Public"
"The University of Alabama","East","Nike",-87.545766,33.2144,"Public"
"The University of Tennessee","Midwest","Nike",-83.929696,35.955093,"Public"
"The University of Texas at Austin","East","Nike",-97.737279,30.284733,"Public"
"University of Arkansas","South","Nike",-94.178214,36.06153,"Public"
"University of California-Los Angeles","East","Under Armour",-118.443901,34.068892,"Public"
"University of California-Santa Barbara","West","Adidas",-119.848031,34.415402,"Public"
"University of Colorado-Boulder","East","Nike",-105.267061,40.004415,"Public"
"University of Connecticut","East","Nike",-72.249519,41.808205,"Public"
"University of Florida","South","Jordan",-82.361195,29.638248,"Public"
"University of Hartford","South","Under Armour",-72.714965,41.796485,"Private"
"University of Houston","Midwest","Jordan",-95.344851,29.719988,"Public"
"University of Illinois at Urbana-Champaign","Midwest","Nike",-88.230309,40.108864,"Public"
"University of Kansas","West","Adidas",-95.24587,38.957351,"Public"
"University of Maryland-College Park","East","Under Armour",-76.939704,38.988607,"Public"
"University of Michigan-Ann Arbor","East","Jordan",-83.74313,42.276172,"Public"
"University of Missouri","West","Nike",-92.326429,38.941015,"Public"
"University of North Carolina at Chapel Hill","East","Nike",-79.050969,35.912165,"Public"
"University of North Texas","South","Nike",-97.151211,33.210958,"Public"
"University of Oklahoma","West","Jordan",-97.445692,35.208152,"Public"
"University of Oregon","West","Nike",-123.07398,44.044515,"Public"
"University of Southern California","West","Nike",-118.283858,34.021058,"Private"
"University of Virginia","West","Nike",-78.502599,38.036546,"Public"
"University of Washington","","Nike",-122.313115,47.656213,"Public"
"University of Wisconsin-Madison","South","Under Armour",-89.405356,43.073858,"Public"
"Utah State University","South","Nike",-111.81391,41.740748,"Public"
"Villanova University","South","Nike",-75.345457,40.039388,"Private"
"Virginia Commonwealth University","West","Nike",-77.453597,37.547631,"Public"
"Virginia Tech","South","Nike",-80.423267,37.228561,"Public"
"West Virginia University","Midwest","Nike",-79.953926,39.63468,"Public"
"Wichita State University","West","Under Armour",-97.296733,37.716484,"Public"
"Winthrop University","South","Adidas",-81.028667,34.938506,"Public"
